Fever,Cough,Shortness_of_breath,Fatigue,Myalgia,Headache,Anosmia,Sore_throat,Nasal_congestion,Rhinorrhea,Nausea,Vomiting,Diarrhea,Abdominal_pain,Blood_in_stool,Chest_pain,Constipation,Dysphagia,Palpitations,Knee_pain,Low_back_pain,Neck_pain,Paresthesia,Rash,Hemoptysis,Pneumonia,Delayed_onset_muscle_soreness,Back_pain,Xerostomia,Dry_eye_syndrome,Insomnia,Sleep_deprivation,Cyanosis,Somnolence,Heartburn,Tremor,Chronic_pain
"Fever does not necessarily need to be treated, and most people with a fever recover without specific medical attention.",The treatment of a cough in children is based on the underlying cause,directed at its underlying cause,,treated symptomatically,lifestyle changes,glucocorticoids,Pain medications,"humidifier, warm showers, drinking fluids, using a neti pot, using a nasal saline spray, and sleeping with one's head elevated",not necessary since it will clear up on its own,rehydration with oral electrolyte solutions,antiemetic,oral rehydration therapy,IV fluids,Treatment of bloody stool depends largely on the cause of the bleeding.,Aspirin,increased intake of water and fiber (either dietary or as supplements),"swallowing therapy, dietary changes, feeding tubes, certain medications, and surgery",depend on the severity and cause of the condition,"physical therapy exercises, pain-reducing drugs such as ibuprofen, joint stretching, knee replacement surgery, and weight loss in people who are overweight","remaining active, avoiding activity that worsen the pain, and understanding self-care of the symptoms",be treated conservatively,"immunosuppressant prednisone, intravenous gamma globulin (IVIG), anticonvulsants such as gabapentin or Gabitril and antiviral medication",steroid topical creams (such as hydrocortisone) or non-steroidal treatments,"iced saline, and topical vasoconstrictors","Antibiotics by mouth, rest, simple analgesics, and fluids","any measure that increases blood flow to the muscle, such as low-intensity activity, massage, nerve mobilization, hot baths, or a sauna visit",remain active and return to normal activities,improving oral hygiene,"avoidance of exacerbating factors, tear stimulation and supplementation, increasing tear retention, and eyelid cleansing and treatment of eye inflammation.",Cognitive behavioral therapy,"implement healthier sleep habits, also known as sleep hygiene",treating the underlying cause,to get plenty of rest and get rid of distractions,Antacids such as calcium carbonate,treating the patient's underlying psychological problem,The combined knowledge of various medical professions and allied health professions
The use of a fan or air conditioning,honey,"active assisted cough techniques, volume augmentation such as breath stacking, education about body position and ventilation patterns and movement strategies to facilitate breathing.",,,"beta blockers, antidepressants, anticonvulsants and NSAIDs",prednisone regimen,corticosteroids,over-the-counter decongestants and antihistamines,nose-blowing,intravenous rehydration,"anticholinergics, antihistamines, dopamine antagonists, serotonin antagonists, and cannabinoids",Medications such as loperamide (Imodium) and bismuth subsalicylate,analgesia,vitamins that are important for RBC formation,admission to the hospital,Soluble fiber supplements such as psyllium,Treatment strategies will differ on a patient to patient basis,stereotactic radioablation,acupuncture,attempting to return to normal activities as soon as possible within the limits of pain,"medication, body mechanics training, ergonomic reform, and physical therapy",topical numbing creams,,Tranexamic acid,advanced care,Ibuprofen,"Superficial heat and massage, acupuncture, and spinal manipulation therapy",saliva substitutes and/or saliva stimulants,Purposefully blinking,Medications,cognitive behavioral therapy for Insomnia,to administer methylene blue,,Medicines such as H2 receptor antagonists or proton pump inhibitors,Physical therapy and occupational therapy,non opioid based therapies
aggressive cooling,A trial of antibiotics or inhaled corticosteroids,Pulmonary rehabilitation,,,Abortive therapies,steroidal treatment or removal of the polyp,Antibiotics,combining nasal sprays with "nasal breathing exercises" (NBE),saline nasal sprays and vasoconstrictor nasal sprays,Medical care,,Oral rehydration solution,"""GI cocktail"" that includes an antacid (examples include omeprazole, ranitidine, magnesium hydroxide, and calcium chloride) and lidocaine.",Diagnostic measures,cognitive behavioral therapy,milk of magnesia or polyethylene glycol,a supplementary nonoral feeding method of nutrition,beta-blocking medications,"Interventions such as exercises that target both the knee and the hip, foot bracing, and patellar taping",multidisciplinary treatment programs,Muscle relaxants,Ketamine,,Selective bronchial intubation,hospitalization,continued exercise,medications,Saliva substitutes,cleaning the eyelids morning and night with mild soaps and warm compresses,Non medication based strategies,to increase nightly sleep time,,,Antibiotics,Surgical intervention such as thalamotomy and deep brain stimulation,acetaminophen (paracetamol) or NSAIDs
increased fluid intake,,Fan therapy,,,acetaminophen (paracetamol) or NSAIDs,,cold drink,,medicinal treatments,antihistamines and anticholinergics,,Appropriate amounts of supplemental zinc and potassium,Butylscopolamine (Buscopan),"colonoscopy and clipping, surgical intervention, or other measures",proton-pump inhibitor,polyethylene glycol,"receiving nutrition through a method that bypasses the oropharyngeal swallowing mechanism including a nasogastric tube, gastrostomy, or jejunostomy.",specialist examination and assessment,,"superficial heat, massage, acupuncture, or spinal manipulation",specific strengthening exercise,high doses of Baclofen multiple times a day,,Laser photocoagulation,hospitalized,exercising sore muscles,surgery,Parasympathomimetic drugs,"Wearing glasses or directing gaze downward, for example, by lowering computer screens",Behavioral sleep medicine strategies,,,,,Thalamotomy,Various other nonopioid medicines
Medications that lower fevers are called antipyretics,,Systemic immediate release opioids,,,metoclopramide,,lozenges,,antihistamines,dopamine antagonists,,Plain water,"cholecystectomy, appendectomy, and exploratory laparotomy",stool softeners,"manipulation therapy or chiropractic therapy, acupuncture,  or a recommendation for increased exercise",prucalopride and lubiprostone,a combination of treatment procedures,address the cause of irritation to the vagus nerve or the parasympathetic nervous system generally.,,walking,Motor control using cranio-cervical flexion exercises,antiviral medication,,Bronchial artery embolization (BAE),intensive care unit admission for observation and specific treatment,,multiple surgical options,Salivary stimulants,supplemental lubrication,Behavioral therapy,,,,,electrical stimulation,opioids
Using both paracetamol and ibuprofen at the same time or alternating between the two,,long-acting/sustained-release opioids,,,an oral triptan,,,,,serotonin antagonists,,continue to be fed,,Improving a persons gut motility,A combination therapy of nonsteroidal anti-inflammatory drugs and manipulation therapy with at-home exercises,Enemas,"texture modification of foods, thickening fluids and positioning changes during swallowing",Anxiety and stress reduction techniques,,heat therapy,Multiple cervical manipulation sessions,,,Surgical option,"heated humidified high-flow therapy delivered through nasal cannulae, non-invasive ventilation",,hemi- or partial- laminectomy or discectomy,chewing gum,artificial tears,Music,,,,,DBS,"tricyclic antidepressants, serotonin-norepinephrine reuptake inhibitors, and anticonvulsants"
,,"modifying activities (physical and mental), practicing relaxation techniques, pacing techniques, energy conservation techniques, learning exercises to control breathing, and education",,,parenteral (through a needle in the skin) triptans and antiemetics,,,,,pyridoxine and doxylamine,,Antidiarrheal agents,,topical nitrates or calcium channel blockers and surgical interventions for chronic or complex cases,,physical intervention such as manual disimpaction,,Changing body position (e.g. sitting upright rather than lying down),,Aerobic exercises,Thoracic manipulation,,,,endotracheal tube,,A mutli-level laminectomy,intraoral devices and integrated mouthcare systems,autologous serum eye drops,EEG biofeedback,,,,,the application of biomechanical loading,olanzapine
,,non-pharmacological approaches to treating breathlessness may be combined with medication.,,,Sphenopalatine ganglion block,,,,,Dimenhydrinate,,bismuth compounds (Pepto-Bismol),,antibiotics,,Regular exercise,,,,directional exercise,Low level laser therapy,,,,treated with 30 ml/kg of crystalloid infused intravenously,,foraminotomy or foraminectomy,the use of pilocarpine,Lubricating tear ointments,Self-help therapy,,,,,the increase of damping or inertia in the upper limb,hormonal medications such as oral contraceptive pills
,,"opiods, benzodiazepines, oxygen, and steriods.",,,"relaxation training, electromyographic feedback and cognitive behavioral therapy may be considered for migraine treatment, along with medications.",,,,,cannabinoids,,Anti-motility agents like loperamide,,removal of the offending agent,,procedures,,,,Exercise therapy,cognitive-behavioural therapy,,,,vasopressor medication,,A discectomy,amifostine,mild topical steroids or with topical immunosuppressants such as ciclosporin (Restasis),Stimulus control therapy,,,,,upper-limb non-invasive ambulatory robotic exoskeletons,"techniques such as trigger point injections, neurolytic blocks, and radiotherapy"
,,systematic corticosteriods,,,"NSAIDs (ibuprofen, naproxen, aspirin), or acetaminophen",,,,,Ginger,,Diosmectite,,medical treatment,,Colectomy with ileorectal anastomosi,,,,yoga,Massaging,,,,lay on their front for at least 12 hours a day,,Total disc replacement,,Diquafosol,sleep restriction,,,,,exoskeletons,ultrasound
,,,,,amitriptyline,,,,,,,kaopectate,,different treatment,,,,,,Motor control exercise,Radiofrequency denervation,,,,antibiotics,,spinal fusion surgery,,Lifitegrast,Bright light therapy,,,,,biomechanical loading,"Psychological treatments, including cognitive behavioral therapy and acceptance and commitment therapy"
,,,,,High flow oxygen therapy,,,,,,,Racecadotril,,"a proton pump inhibitor, with the addition of an H2 blocker",,,,,,Motor control exercise accompanied by manual therapy,,,,,amoxicillin,,surgery may be indicated when a trial of antibiotics is ineffective,,Varenicline (Tyrvaya),Paradoxical intention,,,,,,mindfulness-based pain management
,,,,,preventive therapy,,,,,,,Bile acid sequestrants,,different medical treatment regimens,,,,,,Peripheral nerve stimulation,,,,,"amoxicillin, doxycycline, and in some areas a macrolide (such as azithromycin or erythromycin)",,Surgical evacuation of spinal hematoma,,"Topical ciclosporin (topical ciclosporin A, tCSA) 0.05% ophthalmic emulsion",Sleep hygiene,,,,,,Psychological treatments
,,,,,verapamil,,,,,,,Zinc supplementation,,,,,,,,Aquatic therapy,,,,,amoxicillin taken by mouth,,,,Restasis,The creation of a positive sleep environment,,,,,,exercise
,,,,,lithium,,,,,,,probiotic lactobacillus,,,,,,,,Aquatic therapy,,,,,β-lactam such as cephazolin plus macrolide such as azithromycin,,,,Punctal plugs,cognitive behavioral therapy for insomnia (CBT-I),,,,,,opioids
,,,,,Ergotamine,,,,,,,taking digestive enzymes containing lactase when consuming dairy products,,,,,,,,medications,,,,,Antibiotics,,,,Heating systems that try to unblock the oil glands in the eye,Hypnotic medications,,,,,,health practices or products that are used to treat pain or illness
,,,,,treating the underlying cause,,,,,,,,,,,,,,,short term use of opioids such as morphine,,,,,"third- and fourth-generation cephalosporins, carbapenems, fluoroquinolones, aminoglycosides, and vancomycin",,,,tarsorrhaphy,CBT-I,,,,,,dietary changes
,,,,,antibiotics,,,,,,,,,,,,,,,opioids,,,,,antibiotics,,,,,CBT-I,,,,,,Hypnosis
,,,,,"surgery, chemotherapy or brain radiation",,,,,,,,\,,,,,,,"antiseizure drugs gabapentin, pregabalin, and topiramate",,,,,antibiotic therapy,,,,,CBT,,,,,,medical marijuana
,,,,,Peripheral neuromodulation,,,,,,,,,,,,,,,Facet joint injections and steroid injections into the discs,,,,,prolonged antibiotics,,,,,Metacognition,,,,,,cannabinoids
,,,,,,,,,,,,,,,,,,,,Epidural corticosteroid injections,,,,,The addition of corticosteroids to standard antibiotic treatment,,,,,the use of computer based CBT,,,,,,Tai Chi
,,,,,,,,,,,,,,,,,,,,Discectomy (the partial removal of a disc that is causing leg pain),,,,,adding corticosteroids to the standard PCP pneumonia treatment,,,,,sleeping tablets and other sedatives,,,,,,Acupuncture
,,,,,,,,,,,,,,,,,,,,spinal fusion,,,,,Neuraminidase inhibitors,,,,,over-the-counter antihistamines such as diphenhydramine or doxylamine,,,,,,Transcranial magnetic stimulation
,,,,,,,,,,,,,,,,,,,,Chiropractic care or spinal manipulation therapy (SMT),,,,,antibiotics,,,,,Diphenhydramine and doxylamine,,,,,,Spa therapy
,,,,,,,,,,,,,,,,,,,,acute low back pain massage therapy,,,,,antibiotics,,,,,Antihistamine,,,,,,St John's Wort or nutmeg
